"fips","state","county","month_start_date","monthly_eviction_filings"
"47021","tennessee","cheatham","2021-08-01","10"
"47021","tennessee","cheatham","2021-09-01","11"
"47021","tennessee","cheatham","2021-10-01","3"
"47021","tennessee","cheatham","2021-11-01","9"
"47021","tennessee","cheatham","2021-12-01","10"
"47021","tennessee","cheatham","2022-01-01","9"
"47021","tennessee","cheatham","2022-02-01","9"
"47021","tennessee","cheatham","2022-03-01","10"
"47021","tennessee","cheatham","2022-04-01","6"
"47021","tennessee","cheatham","2022-05-01","9"
"47021","tennessee","cheatham","2022-06-01","6"
"47021","tennessee","cheatham","2022-07-01","6"
"47021","tennessee","cheatham","2022-08-01","11"
"47021","tennessee","cheatham","2022-09-01","8"
"47021","tennessee","cheatham","2022-10-01","6"
"47021","tennessee","cheatham","2022-11-01","6"
"47021","tennessee","cheatham","2022-12-01","3"
"47099","tennessee","lawrence","2016-01-01","6"
"47099","tennessee","lawrence","2016-02-01","4"
"47099","tennessee","lawrence","2016-03-01","7"
"47099","tennessee","lawrence","2016-04-01","7"
"47099","tennessee","lawrence","2016-05-01","6"
"47099","tennessee","lawrence","2016-06-01","11"
"47099","tennessee","lawrence","2016-07-01","12"
"47099","tennessee","lawrence","2016-08-01","7"
"47099","tennessee","lawrence","2016-09-01","13"
"47099","tennessee","lawrence","2016-10-01","4"
"47099","tennessee","lawrence","2016-11-01","4"
"47099","tennessee","lawrence","2016-12-01","10"
"47099","tennessee","lawrence","2017-01-01","16"
"47099","tennessee","lawrence","2017-02-01","13"
"47099","tennessee","lawrence","2017-03-01","5"
"47099","tennessee","lawrence","2017-04-01","6"
"47099","tennessee","lawrence","2017-05-01","9"
"47099","tennessee","lawrence","2017-06-01","10"
"47099","tennessee","lawrence","2017-07-01","12"
"47099","tennessee","lawrence","2017-08-01","10"
"47099","tennessee","lawrence","2017-09-01","11"
"47099","tennessee","lawrence","2017-10-01","5"
"47099","tennessee","lawrence","2017-11-01","7"
"47099","tennessee","lawrence","2017-12-01","4"
"47099","tennessee","lawrence","2018-01-01","4"
"47099","tennessee","lawrence","2018-02-01","6"
"47099","tennessee","lawrence","2018-03-01","3"
"47099","tennessee","lawrence","2018-04-01","8"
"47099","tennessee","lawrence","2018-05-01","9"
"47099","tennessee","lawrence","2018-06-01","11"
"47099","tennessee","lawrence","2018-07-01","5"
"47099","tennessee","lawrence","2018-08-01","3"
"47099","tennessee","lawrence","2018-09-01","10"
"47099","tennessee","lawrence","2018-10-01","6"
"47099","tennessee","lawrence","2018-11-01","6"
"47099","tennessee","lawrence","2018-12-01","8"
"47099","tennessee","lawrence","2019-01-01","9"
"47099","tennessee","lawrence","2019-02-01","13"
"47099","tennessee","lawrence","2019-03-01","11"
"47099","tennessee","lawrence","2019-04-01","8"
"47099","tennessee","lawrence","2019-05-01","9"
"47099","tennessee","lawrence","2019-06-01","10"
"47099","tennessee","lawrence","2019-07-01","5"
"47099","tennessee","lawrence","2019-08-01","8"
"47099","tennessee","lawrence","2019-09-01","12"
"47099","tennessee","lawrence","2019-10-01","8"
"47099","tennessee","lawrence","2019-11-01","6"
"47099","tennessee","lawrence","2019-12-01","9"
"47099","tennessee","lawrence","2020-01-01","9"
