"fips","state","county","week_start_date","eviction_filings"
"47131","tennessee","obion","2017-01-30","5"
"47131","tennessee","obion","2017-02-06","2"
"47131","tennessee","obion","2017-02-13","1"
"47131","tennessee","obion","2017-02-20","5"
"47131","tennessee","obion","2017-02-27","3"
"47131","tennessee","obion","2017-03-06","4"
"47131","tennessee","obion","2017-03-13","4"
"47131","tennessee","obion","2017-03-20","3"
"47131","tennessee","obion","2017-03-27","1"
"47131","tennessee","obion","2017-04-03","2"
"47131","tennessee","obion","2017-04-10","2"
"47131","tennessee","obion","2017-04-17","6"
"47131","tennessee","obion","2017-04-24","1"
"47131","tennessee","obion","2017-05-01","3"
"47131","tennessee","obion","2017-05-08","1"
"47131","tennessee","obion","2017-05-15","2"
"47131","tennessee","obion","2017-05-22","3"
"47131","tennessee","obion","2017-05-29","11"
"47131","tennessee","obion","2017-06-05","2"
"47131","tennessee","obion","2017-06-12","3"
"47131","tennessee","obion","2017-06-19","2"
"47131","tennessee","obion","2017-06-26","5"
"47131","tennessee","obion","2017-07-03","2"
"47131","tennessee","obion","2017-07-10","3"
"47131","tennessee","obion","2017-07-17","7"
"47131","tennessee","obion","2017-07-24","11"
"47131","tennessee","obion","2017-07-31","4"
"47131","tennessee","obion","2017-08-07","2"
"47131","tennessee","obion","2017-08-14","4"
"47131","tennessee","obion","2017-08-21","5"
"47131","tennessee","obion","2017-08-28","4"
"47131","tennessee","obion","2017-09-04","4"
"47131","tennessee","obion","2017-09-11","5"
"47131","tennessee","obion","2017-09-18","3"
"47131","tennessee","obion","2017-09-25","2"
"47131","tennessee","obion","2017-10-02","7"
"47131","tennessee","obion","2017-10-09","1"
"47131","tennessee","obion","2017-10-16","2"
"47131","tennessee","obion","2017-10-23","1"
"47131","tennessee","obion","2017-10-30","4"
"47131","tennessee","obion","2017-11-06","0"
"47131","tennessee","obion","2017-11-13","12"
"47131","tennessee","obion","2017-11-20","0"
"47131","tennessee","obion","2017-11-27","7"
"47131","tennessee","obion","2017-12-04","1"
"47131","tennessee","obion","2017-12-11","1"
"47131","tennessee","obion","2017-12-18","1"
"47131","tennessee","obion","2017-12-25","1"
"47131","tennessee","obion","2018-01-01","0"
"47131","tennessee","obion","2018-01-08","3"
"47131","tennessee","obion","2018-01-15","0"
"47131","tennessee","obion","2018-01-22","7"
"47131","tennessee","obion","2018-01-29","3"
"47131","tennessee","obion","2018-02-05","4"
"47131","tennessee","obion","2018-02-12","4"
"47131","tennessee","obion","2018-02-19","5"
"47131","tennessee","obion","2018-02-26","4"
"47131","tennessee","obion","2018-03-05","1"
"47131","tennessee","obion","2018-03-12","3"
"47131","tennessee","obion","2018-03-19","4"
"47131","tennessee","obion","2018-03-26","0"
"47131","tennessee","obion","2018-04-02","1"
"47131","tennessee","obion","2018-04-09","6"
"47131","tennessee","obion","2018-04-16","3"
"47131","tennessee","obion","2018-04-23","2"
